GENESIS-Tabelle: 12411-0015
Bevölkerung: Kreise, Stichtag;;
Fortschreibung des Bevölkerungsstandes;;
Bevölkerungsstand (Anzahl);;
;;Stichtag
;;31.12.2020
01001;Flensburg, kreisfreie Stadt;89934
01002;Kiel, kreisfreie Stadt;246601
01003;Lübeck, kreisfreie Stadt;215846
01004;Neumünster, kreisfreie Stadt;79905
01051;Dithmarschen, Landkreis;133251
01053;Herzogtum Lauenburg, Landkreis;199152
01054;Nordfriesland, Landkreis;167147
01055;Ostholstein, Landkreis;201487
01056;Pinneberg, Landkreis;317085
01057;Plön, Landkreis;129353
01058;Rendsburg-Eckernförde, Landkreis;274765
01059;Schleswig-Flensburg, Landkreis;202647
01060;Segeberg, Landkreis;278007
01061;Steinburg, Landkreis;130706
01062;Stormarn, Landkreis;244989
02000;Hamburg, kreisfreie Stadt;1852478
03101;Braunschweig, kreisfreie Stadt;248561
03102;Salzgitter, kreisfreie Stadt;103866
03103;Wolfsburg, kreisfreie Stadt;123840
03151;Gifhorn, Landkreis;177227
03152;Göttingen, Landkreis (bis 31.10.2016);-
03153;Goslar, Landkreis;134688
03154;Helmstedt, Landkreis;91518
03155;Northeim, Landkreis;131772
03156;Osterode am Harz, Landkreis (bis 31.10.2016);-
03157;Peine, Landkreis;135844
03158;Wolfenbüttel, Landkreis;119361
03159;Göttingen, Landkreis;323900
03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-
03241;Region Hannover, Landkreis;1155330
03251;Diepholz, Landkreis;218072
03252;Hameln-Pyrmont, Landkreis;148580
03253;Hannover, Landkreis (bis 31.10.2001);-
03254;Hildesheim, Landkreis;275464
03255;Holzminden, Landkreis;70207
03256;Nienburg (Weser), Landkreis;121645
03257;Schaumburg, Landkreis;158406
03351;Celle, Landkreis;179386
03352;Cuxhaven, Landkreis;198826
03353;Harburg, Landkreis;256016
03354;Lüchow-Dannenberg, Landkreis;48503
03355;Lüneburg, Landkreis;184235
03356;Osterholz, Landkreis;114640
03357;Rotenburg (Wümme), Landkreis;164486
03358;Heidekreis;140885
03359;Stade, Landkreis;205357
03360;Uelzen, Landkreis;92566
03361;Verden, Landkreis;137574
03401;Delmenhorst, kreisfreie Stadt;77503
03402;Emden, kreisfreie Stadt;49874
03403;Oldenburg (Oldenburg), kreisfreie Stadt;169605
03404;Osnabrück, kreisfreie Stadt;164223
03405;Wilhelmshaven, kreisfreie Stadt;75189
03451;Ammerland, Landkreis;125643
03452;Aurich, Landkreis;190178
03453;Cloppenburg, Landkreis;172632
